structure,trans_HOMO-1,trans_HOMO,trans_LUMO,trans_LUMO+1,trans_densPd,trans_densP1,trans_densP2,trans_CMull_Pd,trans_CMull_P1,trans_CMull_P2,trans_Chir_Pd,trans_Chir_P1,trans_Chir_P2,trans_Cvor_Pd,trans_Cvor_P1,trans_Cvor_P2,trans_Cmdc_Pd,trans_Cmdc_P1,trans_Cmdc_P2,trans_dipol,trans_EPd,trans_EP1,trans_EP2,cis_HOMO-1,cis_HOMO,cis_LUMO,cis_LUMO+1,cis_densPd,cis_densP1,cis_densP2,cis_CMull_Pd,cis_CMull_P1,cis_CMull_P2,cis_Chir_Pd,cis_Chir_P1,cis_Chir_P2,cis_Cvor_Pd,cis_Cvor_P1,cis_Cvor_P2,cis_Cmdc_Pd,cis_Cmdc_P1,cis_Cmdc_P2,cis_dipol,cis_EPd,cis_EP1,cis_EP2,bite_angle,buried_volume,cone_angle,sasa_area,sasa_atom_area,sasa_volume,solid_angle_G,solid_angle_cone_angle,solid_angle_solid_angle,sterimol_B1,sterimol_B5,sterimol_L,A,B,C,D,A+B+C+D
1,-5.268,-5.076,-2.611,-2.408,106227.795,2232.73439,2232.73424,-0.3248,0.838,0.8189,0.3168,0.1971,0.1951,0.32,0.141,0.139,0.675716,1.030609,1.052508,6.667753,267.609957,54.429727,54.436711,-5.707,-4.965,-2.575,-2.377,106227.5489,2232.83133,2232.69066,-0.2556,0.8145,0.9172,0.2872,0.1764,0.2014,0.289,0.119,0.145,0.587354,1.003625,1.047883,13.546196,267.615191,54.433909,54.416281,134.1797648,0.605288512,240.1197681,756.7449024,27.26997799,1382.28866,61.04181276,205.5170648,7.670740421,3.325580981,6.794354173,10.85705283,67,1,149,42,258
2,-5.392,-4.831,-2.849,-2.413,106227.4804,2232.70804,2232.72688,-0.3892,0.8811,0.8723,0.339,0.1884,0.189,0.339,0.127,0.128,0.666884,1.036074,1.038971,7.84911,267.600715,54.432354,54.432905,-5.575,-5.016,-2.599,-2.389,106227.2118,2232.72711,2232.86245,-0.2815,0.8793,0.7935,0.2822,0.1935,0.176,0.28,0.14,0.114,0.568974,1.034196,1.013105,12.756419,267.614457,54.417677,54.44091,141.9513792,0.610450808,260.2926338,827.8538464,21.7433661,1497.495087,60.32262087,203.8298834,7.580364103,3.582668273,7.710642014,10.613015,39,17,19,157,232
3,-5.036,-4.735,-3.205,-2.35,106227.167,2232.7736,2232.80619,-0.2134,0.8482,0.7718,0.3314,0.1757,0.1792,0.335,0.122,0.118,0.676485,1.009608,1.02266,16.278268,267.609683,54.425072,54.443044,-5.158,-4.957,-2.548,-2.309,106227.2154,2232.71086,2232.88803,-0.1973,0.7906,0.7949,0.2828,0.1979,0.1801,0.287,0.14,0.116,0.599999,1.037364,1.014341,15.511257,267.621363,54.418554,54.443368,142.761975,0.610501803,264.5325661,795.4337417,21.77301897,1412.812619,60.38174575,203.9684138,7.587793954,3.627007842,6.800154516,10.7673,43,15,27,157,243
4,-5.063,-4.863,-2.509,-1.986,106227.9545,2232.90548,2232.9059,-0.4946,1.1835,1.1902,0.3251,0.2046,0.2034,0.322,0.125,0.123,0.683907,1.03978,1.03104,6.399723,267.608946,54.442102,54.442222,-5.485,-4.852,-2.535,-2.147,106226.9196,2233.04261,2232.90621,-0.3732,0.9004,1.0245,0.3132,0.1811,0.2083,0.3,0.102,0.135,0.61644,1.000965,1.018996,12.05241,267.611575,54.453428,54.423877,30.5537832,0.805808757,0,773.9588864,0.327237709,1524.853295,0,0,0,4.87270599,7.242142714,4.673328999,51,11,29,151,242
5,-5.2,-4.859,-2.547,-2.264,106227.4553,2233.04752,2233.04811,-0.474,1.1796,1.182,0.3343,0.2119,0.2125,0.327,0.13,0.134,0.707872,0.999136,0.999834,3.679518,267.60899,54.436379,54.43613,-5.354,-4.913,-2.459,-2.41,106226.1292,2233.30145,2233.04443,-0.407,0.9239,1.1131,0.3277,0.1802,0.2064,0.311,0.095,0.132,0.650451,0.967482,0.973882,11.962451,267.61536,54.456193,54.419133,145.8495317,0.733198796,296.7080959,694.8054787,2.347154744,1337.586364,75.56524141,241.5035191,9.495808291,3.819447995,7.730082994,8.986464702,41,3,44,142,230
6,-5.287,-4.969,-2.434,-2.237,106227.6571,2232.75645,2232.74109,-0.3554,0.9085,0.8713,0.318,0.1972,0.2005,0.319,0.137,0.141,0.643943,1.045201,1.056299,7.342067,267.606274,54.434977,54.431756,-5.425,-4.819,-2.585,-2.39,106227.0988,2232.7686,2232.83206,-0.2898,0.8456,0.8488,0.3019,0.1963,0.1741,0.299,0.146,0.115,0.600889,1.041864,1.019501,10.86352,267.610774,54.418836,54.446029,161.7890041,0.727658335,281.0650137,867.6486554,8.663097686,1662.569556,74.20078064,237.901705,9.324345094,4.516599001,7.930409943,10.41763347,55,1,164,37,257
7,-5.252,-4.897,-2.649,-2.587,106226.733,2232.74924,2232.78337,-0.2058,0.7755,0.7857,0.3092,0.2063,0.2072,0.318,0.141,0.139,0.690356,1.049261,1.058992,8.073739,267.613098,54.424824,54.427482,-5.338,-4.987,-2.752,-2.69,106226.4377,2232.7878,2232.80833,-0.2719,0.8119,0.763,0.2997,0.2026,0.1993,0.312,0.144,0.143,0.692668,1.040049,1.036967,8.398157,267.61707,54.425929,54.432701,29.65241688,0.779444652,0,765.3956549,0.330007711,1393.061435,0,0,0,3.29417396,12.33625342,5.300975934,20,0,137,3,160
8,-5.416,-4.775,-2.975,-2.631,106227.7997,2232.71813,2232.71521,-0.1989,0.7472,0.8295,0.3256,0.2021,0.2086,0.316,0.138,0.145,0.784706,1.04282,1.049231,6.416148,267.602149,54.427228,54.42047,-5.287,-5.255,-2.917,-2.765,106228.2488,2233.16246,2232.62472,-0.0322,0.3196,0.8112,0.3223,0.1379,0.1944,0.321,0.073,0.13,0.684707,0.941332,1.035035,12.317162,267.605497,54.480182,54.407433,41.99446316,0.858285967,342.19209,875.6170919,0,1612.547593,98.1139583,328.4257552,12.32936362,5.017782965,9.116904312,10.78864199,21,0,149,3,173
9,-5.774,-4.825,-3.061,-2.377,106226.609,2232.69494,2233.15773,-0.2397,0.7863,0.5549,0.3187,0.2057,0.1562,0.328,0.155,0.094,0.650441,1.020571,0.946439,7.596445,267.600707,54.415137,54.450881,-5.775,-4.919,-2.512,-2.338,106228.2969,2232.66369,2232.85424,-0.1926,0.7652,0.5679,0.2831,0.2073,0.1701,0.291,0.149,0.109,0.5783,1.019626,0.964165,15.505727,267.610267,54.405666,54.428357,77.19684786,0.427075568,187.3545161,630.3934359,58.55925441,1094.083144,43.87235397,165.9210762,5.513162597,3.391034249,6.814992165,9.214595669,70,5,62,113,249
10,-5.856,-4.542,-3.034,-2.41,106226.9075,2232.74021,2232.7719,-0.3564,0.7916,0.7683,0.329,0.1858,0.1811,0.331,0.122,0.11,0.627822,1.008068,1.009743,8.39533,267.5944,54.42866,54.430756,-5.773,-4.8,-2.49,-2.231,106228.2776,2232.7894,2232.68886,-0.2416,0.7231,0.8174,0.2942,0.1815,0.2051,0.296,0.113,0.141,0.588281,0.986279,1.022649,14.046725,267.608797,54.433525,54.411127,93.82078426,0.533672661,254.3639032,661.6045288,40.88947939,1127.86748,55.05331848,191.6011602,6.918204036,3.588212662,6.789261329,10.15641439,39,17,18,155,229
11,-5.677,-4.653,-2.901,-2.316,106227.492,2232.74036,2232.74959,-0.3823,0.8189,0.8587,0.3338,0.1832,0.1885,0.333,0.114,0.119,0.632459,1.007297,1.022796,7.561435,267.592404,54.428715,54.431389,-5.694,-4.792,-2.487,-2.083,106228.187,2232.77152,2232.66745,-0.3077,0.8127,0.8892,0.2985,0.1823,0.2056,0.294,0.106,0.14,0.591414,0.991561,1.023755,13.460618,267.607334,54.435253,54.413082,34.55409692,0.518437849,220.744139,680.4443829,41.469472,1186.109321,51.66321821,183.8125187,6.492191471,4.851132889,9.864904988,5.015978458,45,13,17,162,237
12,-5.628,-4.823,-3.998,-2.793,106227.7149,2232.72707,2232.50374,-0.3655,0.8451,0.7972,0.3409,0.2009,0.1921,0.336,0.136,0.148,0.6407,1.022727,1.074154,7.185329,267.595105,54.424321,54.427786,-5.768,-4.969,-4.291,-2.496,106227.6315,2232.84935,2232.54473,-0.299,0.7473,0.8715,0.3022,0.1789,0.1977,0.295,0.111,0.145,0.584047,0.988379,1.055637,13.629761,267.607388,54.436342,54.413085,106.4141812,0.620213939,271.3140403,691.8860688,21.61457319,1196.411456,63.6924455,211.7875161,8.003828755,4.046999794,6.750780976,9.588620461,49,2,104,81,235
13,-5.236,-5.049,-2.646,-2.36,106228.0692,2232.72411,2232.73337,-0.3667,0.8511,0.8388,0.3281,0.1992,0.1983,0.323,0.122,0.12,0.64915,1.032216,1.033416,7.168747,267.601026,54.431541,54.433243,-5.628,-4.904,-2.545,-2.153,106227.7554,2232.83885,2232.7044,-0.335,0.8878,0.9264,0.299,0.1866,0.2069,0.298,0.106,0.132,0.591752,0.995348,1.02877,13.068155,267.608305,54.436038,54.415674,126.3225649,0.630098975,286.8296841,715.8516683,17.95727679,1241.29118,65.15005806,215.2931773,8.186997752,3.815044374,6.77621658,10.09262038,54,3,115,70,241
14,-5.608,-5.045,-2.57,-2.089,106228.5234,2232.73046,2232.75536,-0.4,0.8776,0.8501,0.3247,0.2077,0.2054,0.314,0.129,0.121,0.646726,1.036254,1.042748,5.904457,267.601395,54.433031,54.43613,-5.569,-4.943,-2.588,-2.254,106227.5642,2232.85314,2232.73781,-0.3117,0.8633,0.9065,0.304,0.1931,0.208,0.302,0.113,0.127,0.615025,1.00731,1.026736,11.984929,267.609726,54.44084,54.416968,101.4813776,0.821619638,340.2888979,735.4179166,0.213502706,1285.380194,97.7801201,326.6321132,12.28741228,4.115112475,7.474652121,9.53948386,33,2,132,38,204
15,-5.548,-4.98,-2.556,-2.074,106228.415,2232.726,2232.76352,-0.3479,0.8304,0.8621,0.3139,0.2075,0.2084,0.306,0.125,0.133,0.632377,1.046437,1.044996,6.591378,267.602684,54.43351,54.435904,-5.694,-4.968,-2.566,-2.186,106227.4757,2232.85786,2232.73366,-0.3278,0.9452,0.8781,0.2846,0.1831,0.2049,0.276,0.106,0.131,0.562237,0.992295,1.025838,12.301436,267.60925,54.439997,54.417694,166.0787193,0.745948918,318.4099084,755.8280027,0.499986438,1354.00839,76.92296247,245.1809117,9.666424552,4.392164732,6.674846529,9.56417691,52,1,153,48,255
16,-5.59,-4.265,-2.822,-2.274,106226.932,2232.9351,2232.93417,-0.5426,1.1376,1.1535,0.3371,0.1945,0.1958,0.34,0.115,0.109,0.650162,0.988613,0.976665,8.169512,267.597837,54.440678,54.43625,-5.579,-4.626,-2.461,-1.694,106228.1023,2232.96206,2232.85473,-0.4446,1.1885,1.2227,0.3029,0.1924,0.2175,0.298,0.11,0.137,0.594382,0.978076,1.010787,13.434931,267.609399,54.441084,54.421037,21.54826979,0.602832335,273.2004957,689.8969898,23.61836114,1247.20891,65.27260471,215.5754699,8.202397418,3.767252293,8.09985304,7.088236064,30,21,5,165,221
17,-6.035,-5.252,-3.328,-2.883,106226.7297,2232.88087,2232.82269,-0.2766,0.7873,0.821,0.352,0.1802,0.1832,0.36,0.13,0.138,0.698045,1.047148,1.053046,6.057459,267.557125,54.372846,54.370046,-6.118,-5.315,-2.903,-2.806,106227.7675,2232.76356,2232.94267,-0.1662,0.7798,0.7671,0.2849,0.1972,0.1812,0.299,0.151,0.137,0.624399,1.040149,1.025453,11.620311,267.571638,54.349767,54.37061,32.87026568,0.636274693,262.6130155,775.0900818,26.24966578,1391.183894,62.78847684,209.6383772,7.890232703,3.619277582,9.022663212,12.27960665,9,6,31,79,125
18,-5.579,-4.651,-3.04,-2.431,106226.516,2232.80572,2232.79242,-0.3416,0.8115,0.7936,0.3311,0.1851,0.1843,0.333,0.111,0.117,0.639702,1.021298,1.005266,7.160253,267.59836,54.432668,54.432511,-5.698,-4.871,-2.593,-2.31,106228.0256,2232.83436,2232.695,-0.3002,0.7919,0.9257,0.2881,0.1765,0.2061,0.29,0.105,0.134,0.585678,1.002936,1.041377,14.465018,267.61518,54.44043,54.414424,100.8922058,0.528720539,241.5231957,690.451031,42.13280176,1231.558939,54.43927156,190.1874845,6.841040624,3.540637247,6.772070438,10.03568256,50,13,22,156,241
19,-5.839,-4.635,-3.046,-2.696,106227.0021,2232.72058,2232.74813,-0.3141,0.7291,0.6833,0.3405,0.1813,0.1776,0.347,0.128,0.115,0.651517,1.010323,1.010587,7.361489,267.593385,54.427695,54.43132,-5.822,-4.879,-2.699,-2.575,106228.2737,2232.75664,2232.64257,-0.2261,0.707,0.7791,0.2865,0.1763,0.1985,0.297,0.123,0.14,0.576194,0.991707,1.020905,13.875083,267.609078,54.431145,54.409426,27.79633248,0.470922242,202.3132497,672.2844773,49.35937155,1151.716175,46.80884928,172.681447,5.88217348,3.007598218,8.537534107,7.230340842,34,20,12,171,237
20,-5.304,-4.983,-2.576,-2.382,106228.0947,2232.6675,2232.70573,-0.2652,0.7634,0.8896,0.305,0.1994,0.2014,0.306,0.134,0.136,0.609712,1.05207,1.041586,8.570947,267.600739,54.431305,54.428439,-5.395,-4.882,-2.686,-2.324,106227.8872,2232.63439,2232.76263,-0.259,0.837,0.7661,0.2925,0.2015,0.1794,0.291,0.143,0.119,0.58825,1.035919,0.996853,15.178013,267.610955,54.415338,54.438597,146.7720004,0.558190458,269.9650507,1220.139323,16.84978546,2267.986494,57.57599873,197.4300432,7.235213385,4.714722092,12.35345874,10.30351902,59,1,180,16,257
21,-5.849,-4.471,-3.215,-2.514,106226.8797,2232.72475,2232.70538,-0.3302,0.753,0.8046,0.3349,0.1753,0.1817,0.341,0.126,0.128,0.639955,1.000301,1.005675,8.450229,267.596123,54.432067,54.425932,-5.777,-4.863,-2.545,-2.464,106228.2425,2232.76887,2232.64696,-0.243,0.7499,0.8161,0.2847,0.1773,0.1993,0.291,0.116,0.144,0.568655,0.991503,1.019187,15.351727,267.610034,54.432974,54.41157,92.00746991,0.478073751,199.5592206,680.0440625,46.38940936,1215.288753,48.4641095,176.4794445,6.090179615,3.458596134,6.812111794,9.899231554,27,23,6,169,224
22,-5.613,-4.519,-3.004,-2.728,106227.5568,2232.70493,2232.74709,-0.3665,0.8075,0.8515,0.342,0.1815,0.1811,0.344,0.134,0.124,0.65671,1.004623,1.007224,6.497335,267.593558,54.429194,54.433594,-5.732,-4.789,-2.878,-2.489,106228.2488,2232.73103,2232.66876,-0.2354,0.7637,0.8678,0.2935,0.1755,0.2007,0.295,0.121,0.141,0.57402,0.988747,1.013872,14.604702,267.608854,54.432976,54.411262,33.83808165,0.5134877,229.8860309,735.5751792,38.85950523,1326.506507,51.0982015,182.5170948,6.421189377,4.37562787,9.163785947,7.357075817,37,21,12,172,242
23,-5.438,-5.02,-2.68,-2.374,106228.0741,2232.69609,2232.73277,-0.2938,0.7969,0.8412,0.306,0.2058,0.2068,0.301,0.141,0.143,0.621877,1.044632,1.043028,7.124513,267.599322,54.424942,54.426203,-5.415,-4.936,-2.609,-2.353,106227.6104,2232.80705,2232.68606,-0.3408,0.8539,0.9132,0.305,0.1863,0.2019,0.299,0.114,0.139,0.611107,1.010483,1.027903,11.01255,267.601314,54.432555,54.412029,23.22717577,0.659639396,259.9169763,1001.816928,15.41995627,2074.706936,75.48941588,241.2994614,9.486279775,4.264250916,11.33990939,12.06816159,46,1,199,13,260
24,-5.483,-4.989,-2.594,-2.081,106228.2266,2232.80869,2232.8375,-0.2303,0.7916,0.7759,0.3096,0.2071,0.2018,0.311,0.135,0.133,0.616732,1.038371,1.021817,5.635317,267.602283,54.428433,54.432311,-5.577,-5.384,-3.095,-2.717,106225.2651,2232.80749,2233.26014,-0.1363,0.7752,0.4572,0.3317,0.1758,0.1849,0.33,0.085,0.097,0.730883,0.999783,0.98848,15.147485,267.596305,54.438081,54.450353,94.81383403,0.853277581,344.1901048,803.9360981,0,1477.682985,99.01321025,337.1959597,12.44236696,4.627610047,7.492234634,9.781723105,65,1,159,42,268
25,-5.334,-5.01,-2.613,-2.359,106228.1742,2232.81121,2232.83542,-0.2478,0.7854,0.7791,0.3074,0.2057,0.2024,0.309,0.13,0.138,0.611668,1.037147,1.02266,6.20655,267.601137,54.427026,54.429742,-5.323,-4.868,-2.571,-2.386,106227.4984,2232.79907,2232.89167,-0.2664,0.8655,0.9008,0.3069,0.2099,0.1869,0.304,0.14,0.121,0.603944,1.025818,0.98866,12.276899,267.608326,54.410519,54.435311,96.68149043,0.848711796,344.3039233,922.4073312,0,1713.048908,99.06891612,337.851043,12.44936716,5.244101523,8.544023183,9.400832822,62,4,84,100,250
26,-5.655,-5.237,-4.378,-2.721,106228.5757,2232.80599,2232.74945,-0.1894,0.7695,0.8129,0.3607,0.215,0.2084,0.38,0.154,0.139,0.794737,1.069116,1.043337,7.450499,267.586631,54.436897,54.422663,-5.661,-5.234,-4.375,-2.709,106228.6101,2232.80728,2232.74997,-0.1861,0.7751,0.8078,0.3604,0.2152,0.2085,0.379,0.158,0.14,0.795595,1.070404,1.042234,7.477947,267.585316,54.436111,54.422611,166.9445411,0.655848164,268.0604385,749.8656134,20.75973568,1299.680665,67.87362725,221.8901145,8.529251549,3.879515444,6.767907634,11.08492993,62,4,88,99,253
27,-5.388,-5.298,-2.614,-2.325,106228.4227,2232.73657,2232.70894,-0.3655,0.8073,0.8097,0.3303,0.1997,0.2065,0.321,0.124,0.132,0.654208,1.032228,1.032756,5.814866,267.594291,54.431071,54.426782,-5.783,-4.926,-2.564,-2.299,106227.9384,2232.67255,2232.82112,-0.3423,0.8683,0.9033,0.3014,0.2096,0.1893,0.299,0.144,0.116,0.60814,1.022373,1.001314,12.902803,267.605422,54.411251,54.43241,136.6251654,0.617566004,277.9310312,781.6333446,18.1754453,1359.873365,63.95053175,212.4032752,8.036260829,3.717273414,7.084767752,10.88481358,64,1,107,81,254
28,-4.236,-2.769,-1.577,-1.398,106227.835,2233.54207,2233.45699,-0.453,1.2914,1.3359,0.331,0.2401,0.238,0.358,0.164,0.164,0.768195,1.124666,1.124286,63.798232,267.711233,54.534659,54.526967,-4.976,-4.223,-2.125,-1.164,106229.2477,2233.20258,2233.19415,-0.503,1.3684,1.3602,0.3092,0.2745,0.2694,0.319,0.2,0.192,0.763045,1.171951,1.167195,58.460451,267.668529,54.504762,54.467858,159.4840222,0.712551752,293.6695168,619.195086,3.946509247,1132.340507,75.62341132,241.657152,9.503118138,3.622570839,6.602750807,9.276493347,52,5,90,97,244
